schlcode,sc_size,sc_boys,sc_girls,mrkgrm,mrkmth,classize,pct_dis,class_id,regioncode,n_classes
11005,35,12,23,66,65,35,24,1,Reg3,1
11006,54,23,31,61,57,27,38,2,Reg3,2
11006,54,23,31,61,57,27,38,3,Reg3,2
11009,38,15,23,78,77,38,6,4,Reg1,1
11010,73,40,33,74,64,37,3,5,Reg3,2
11010,73,40,33,74,64,36,3,6,Reg3,2
11013,65,31,34,64,65,31,8,8,Reg3,2
11013,65,31,34,64,65,34,8,7,Reg3,2
11015,89,35,54,84,80,30,6,9,Reg3,3
11015,89,35,54,84,80,30,6,10,Reg3,3
11015,89,35,54,84,80,29,6,11,Reg3,3
11017,85,43,42,68,66,29,9,12,Reg3,3
11017,85,43,42,68,66,28,9,13,Reg3,3
11017,85,43,42,68,66,28,9,14,Reg3,3
11020,74,32,42,75,76,38,5,15,Reg3,2
11020,74,32,42,75,76,36,5,16,Reg3,2
11021,66,31,35,75,71,34,11,18,Reg3,2
11021,66,31,35,75,71,31,11,17,Reg3,2
11027,96,48,48,77,71,33,5,19,Reg3,3
11027,96,48,48,77,71,32,5,20,Reg3,3
11027,96,48,48,77,71,31,5,21,Reg3,3
11029,87,39,48,65,60,31,11,22,Reg3,3
11029,87,39,48,65,60,26,11,23,Reg3,3
11029,87,39,48,65,60,30,11,24,Reg3,3
11031,73,36,37,77,72,36,12,25,Reg3,2
11031,73,36,37,77,72,37,12,26,Reg3,2
11032,80,40,40,62,61,29,13,27,Reg3,3
11032,80,40,40,62,61,29,13,28,Reg3,3
11032,80,40,40,62,61,29,13,29,Reg3,3
11034,79,49,30,66,62,26,11,30,Reg3,3
11034,79,49,30,66,62,26,11,31,Reg3,3
11034,79,49,30,66,62,27,11,32,Reg3,3
11045,77,34,43,74,69,38,9,34,Reg3,2
11045,77,34,43,74,69,39,9,35,Reg3,2
11048,87,87,0,81,81,22,11,36,Reg3,2
11048,87,87,0,81,81,23,11,37,Reg3,2
11054,42,42,0,67,63,22,17,38,Reg3,2
11054,42,42,0,67,63,20,17,39,Reg3,2
11061,50,22,28,66,55,22,15,41,Reg3,2
11061,50,22,28,66,55,28,15,42,Reg3,2
11064,21,9,12,52,45,21,25,43,Reg2,1
11065,23,9,14,66,60,23,42,44,Reg2,1
11067,60,34,26,53,55,26,31,46,Reg2,2
11067,60,34,26,53,55,27,31,45,Reg2,2
11072,49,26,23,70,66,24,25,47,Reg2,2
11072,49,26,23,70,66,25,25,48,Reg2,2
11073,43,21,22,82,76,21,7,49,Reg1,2
11073,43,21,22,82,76,22,7,50,Reg1,2
11106,65,38,27,78,68,26,3,51,Reg3,2
11106,65,38,27,78,68,27,3,52,Reg3,2
11109,118,50,68,79,74,30,5,54,Reg2,4
11109,118,50,68,79,74,33,5,55,Reg2,4
11109,118,50,68,79,74,24,5,56,Reg2,4
11109,118,50,68,79,74,31,5,57,Reg2,4
11111,99,50,49,67,66,34,5,58,Reg3,3
11111,99,50,49,67,66,29,5,59,Reg3,3
11111,99,50,49,67,66,36,5,60,Reg3,3
11115,60,30,30,69,59,18,11,61,Reg3,2
11115,60,30,30,69,59,30,11,62,Reg3,2
11117,72,40,32,65,57,32,31,63,Reg3,2
11117,72,40,32,65,57,33,31,64,Reg3,2
11119,83,39,44,72,64,22,21,65,Reg4,3
11119,83,39,44,72,64,39,21,66,Reg4,3
11119,83,39,44,72,64,22,21,67,Reg4,3
11120,107,51,56,66,57,37,2,68,Reg3,3
11120,107,51,56,66,57,36,2,69,Reg3,3
11120,107,51,56,66,57,34,2,70,Reg3,3
11126,45,0,45,67,58,23,16,71,Reg3,2
11126,45,0,45,67,58,22,16,72,Reg3,2
11132,95,44,51,79,67,33,9,76,Reg4,3
11132,95,44,51,79,67,32,9,77,Reg4,3
11132,95,44,51,79,67,30,9,75,Reg4,3
11133,32,16,16,77,81,32,7,78,Reg3,1
11134,65,37,28,71,56,34,2,79,Reg3,2
11134,65,37,28,71,56,31,2,80,Reg3,2
11135,66,36,30,81,78,31,4,81,Reg3,2
11135,66,36,30,81,78,35,4,82,Reg3,2
11144,98,59,39,68,63,32,10,83,Reg3,3
11144,98,59,39,68,63,32,10,85,Reg3,3
11144,98,59,39,68,63,33,10,84,Reg3,3
11145,21,11,10,72,60,21,10,86,Reg4,1
11150,88,44,44,76,70,31,2,88,Reg3,3
11150,88,44,44,76,70,27,2,89,Reg3,3
11150,88,44,44,76,70,30,2,87,Reg3,3
11151,28,16,12,58,53,28,42,90,Reg3,1
11152,92,49,43,75,70,29,5,91,Reg3,3
11152,92,49,43,75,70,32,5,92,Reg3,3
11152,92,49,43,75,70,31,5,93,Reg3,3
11159,43,22,21,70,67,22,17,95,Reg3,2
11159,43,22,21,70,67,21,17,94,Reg3,2
11161,47,28,19,73,64,23,19,96,Reg3,2
11161,47,28,19,73,64,24,19,97,Reg3,2
11168,26,19,7,71,68,26,5,99,Reg3,1
11169,23,15,8,84,77,23,0,100,Reg3,1
11170,75,40,35,81,72,35,2,102,Reg4,2
11170,75,40,35,81,72,40,2,101,Reg4,2
11171,93,47,46,76,74,47,8,103,Reg4,3
11171,93,47,46,76,74,24,8,105,Reg4,3
11171,93,47,46,76,74,22,8,104,Reg4,3
11172,15,6,9,75,79,15,7,106,Reg4,1
11182,54,24,30,71,63,30,9,108,Reg3,2
11182,54,24,30,71,63,24,9,109,Reg3,2
11183,71,31,40,74,69,36,1,110,Reg3,2
11183,71,31,40,74,69,35,1,111,Reg3,2
11184,99,57,42,78,72,33,5,112,Reg4,3
11184,99,57,42,78,72,33,5,113,Reg4,3
11184,99,57,42,78,72,33,5,114,Reg4,3
11187,119,60,59,77,72,40,4,115,Reg3,3
11187,119,60,59,77,72,39,4,116,Reg3,3
11187,119,60,59,77,72,40,4,117,Reg3,3
11188,41,17,24,58,39,21,12,118,Reg3,2
11188,41,17,24,58,39,16,12,119,Reg3,2
11190,86,44,42,71,68,29,5,121,Reg3,3
11190,86,44,42,71,68,27,5,122,Reg3,3
11190,86,44,42,71,68,30,5,123,Reg3,3
11196,29,15,14,74,69,29,0,124,Reg4,1
11201,84,47,37,71,71,28,3,125,Reg3,3
11201,84,47,37,71,71,28,3,126,Reg3,3
11201,84,47,37,71,71,28,3,127,Reg3,3
11203,22,8,14,72,72,22,0,128,Reg1,1
11205,27,11,16,76,69,27,3,129,Reg4,1
11207,81,40,41,76,68,27,10,130,Reg3,3
11207,81,40,41,76,68,24,10,131,Reg3,3
11207,81,40,41,76,68,30,10,132,Reg3,3
11209,31,18,13,68,65,31,0,133,Reg4,1
11212,20,12,8,78,74,20,2,134,Reg4,1
11213,108,56,52,76,66,38,7,135,Reg3,3
11213,108,56,52,76,66,32,7,136,Reg3,3
11213,108,56,52,76,66,38,7,137,Reg3,3
11215,21,15,6,76,72,21,0,138,Reg4,1
11217,155,84,71,69,59,39,5,139,Reg4,4
11217,155,84,71,69,59,39,5,140,Reg4,4
11217,155,84,71,69,59,38,5,141,Reg4,4
11217,155,84,71,69,59,39,5,142,Reg4,4
11218,103,48,55,74,69,35,6,143,Reg3,3
11218,103,48,55,74,69,33,6,144,Reg3,3
11218,103,48,55,74,69,34,6,145,Reg3,3
11220,138,70,68,79,76,34,4,146,Reg3,4
11220,138,70,68,79,76,35,4,147,Reg3,4
11220,138,70,68,79,76,36,4,149,Reg3,4
11220,138,70,68,79,76,33,4,148,Reg3,4
11221,87,49,38,78,75,29,11,150,Reg3,3
11221,87,49,38,78,75,30,11,152,Reg3,3
11221,87,49,38,78,75,28,11,151,Reg3,3
11222,82,44,38,64,54,27,3,153,Reg3,3
11222,82,44,38,64,54,29,3,154,Reg3,3
11222,82,44,38,64,54,26,3,155,Reg3,3
11225,78,37,41,81,76,40,2,156,Reg4,2
11225,78,37,41,81,76,38,2,157,Reg4,2
11227,123,66,57,72,64,41,0,158,Reg4,3
11227,123,66,57,72,64,42,0,159,Reg4,3
11227,123,66,57,72,64,40,0,160,Reg4,3
11228,31,16,15,68,66,31,19,161,Reg3,1
11233,72,31,41,73,64,37,11,162,Reg3,2
11233,72,31,41,73,64,35,11,163,Reg3,2
11235,38,23,15,72,65,38,8,170,Reg3,1
11236,11,7,4,78,69,11,0,171,Reg4,1
11238,20,6,14,69,69,20,1,172,Reg3,1
11239,88,50,38,72,63,24,3,173,Reg3,3
11239,88,50,38,72,63,26,3,174,Reg3,3
11239,88,50,38,72,63,38,3,175,Reg3,3
11247,57,31,26,66,67,23,5,177,Reg3,2
11247,57,31,26,66,67,34,5,176,Reg3,2
11248,79,39,40,75,70,39,5,178,Reg3,2
11248,79,39,40,75,70,40,5,179,Reg3,2
11249,19,9,10,77,69,19,15,180,Reg4,1
11250,97,51,46,62,60,32,8,181,Reg4,3
11250,97,51,46,62,60,35,8,182,Reg4,3
11250,97,51,46,62,60,30,8,183,Reg4,3
11251,12,5,7,77,78,12,8,184,Reg4,1
11256,31,17,14,72,70,31,3,185,Reg3,1
11257,27,14,13,75,70,27,5,186,Reg3,1
11258,46,22,24,73,76,23,3,187,Reg4,2
11258,46,22,24,73,76,23,3,188,Reg4,2
11259,43,19,24,76,64,22,0,189,Reg4,2
11259,43,19,24,76,64,21,0,190,Reg4,2
11260,16,8,8,82,73,16,4,191,Reg4,1
11281,29,12,17,80,72,29,3,192,Reg4,1
11300,28,14,14,73,61,28,5,193,Reg3,1
11306,39,27,12,71,66,39,5,194,Reg3,1
11307,30,12,18,69,67,30,5,195,Reg3,1
11317,29,29,0,70,68,29,0,196,Reg4,1
21005,18,11,7,83,54,18,0,197,Reg1,1
21006,64,30,34,76,59,32,2,199,Reg1,2
21006,64,30,34,76,59,32,2,198,Reg1,2
21010,22,13,9,66,63,22,43,200,Reg2,1
21012,30,12,18,80,58,30,1,201,Reg1,1
21013,17,7,10,78,75,17,0,202,Reg1,1
21021,24,11,13,82,75,24,0,203,Reg1,1
21026,86,45,41,75,73,29,27,204,Reg6,3
21026,86,45,41,75,73,23,27,205,Reg6,3
21026,86,45,41,75,73,25,27,206,Reg6,3
21030,29,12,17,62,57,29,65,209,Reg6,1
21031,72,36,36,68,69,30,36,210,Reg6,2
21031,72,36,36,68,69,29,36,211,Reg6,2
21032,48,13,35,72,66,24,13,212,Reg2,2
21032,48,13,35,72,66,24,13,213,Reg2,2
21041,27,13,14,81,70,27,3,214,Reg1,1
21042,15,9,6,73,56,15,0,215,Reg1,1
21043,44,21,23,79,65,22,1,216,Reg1,2
21043,44,21,23,79,65,22,1,217,Reg1,2
21048,80,46,34,73,68,40,13,219,Reg1,2
21048,80,46,34,73,68,40,13,218,Reg1,2
21050,47,22,25,83,67,23,3,220,Reg1,2
21050,47,22,25,83,67,24,3,221,Reg1,2
21052,19,10,9,87,67,19,0,222,Reg1,1
21057,56,31,25,79,71,28,2,223,Reg1,2
21057,56,31,25,79,71,28,2,224,Reg1,2
21064,41,26,15,69,60,20,1,225,Reg1,2
21064,41,26,15,69,60,21,1,226,Reg1,2
21065,21,11,10,75,65,21,0,227,Reg1,1
21067,63,24,39,62,62,31,38,228,Reg2,2
21067,63,24,39,62,62,32,38,229,Reg2,2
21068,70,40,30,71,70,29,33,230,Reg2,2
21068,70,40,30,71,70,34,33,231,Reg2,2
21069,127,60,67,67,65,33,16,232,Reg5,4
21069,127,60,67,67,65,32,16,233,Reg5,4
21069,127,60,67,67,65,32,16,234,Reg5,4
21069,127,60,67,67,65,30,16,235,Reg5,4
21070,94,51,43,69,72,32,14,236,Reg5,3
21070,94,51,43,69,72,30,14,237,Reg5,3
21070,94,51,43,69,72,32,14,238,Reg5,3
21073,105,60,45,66,67,36,16,239,Reg5,3
21073,105,60,45,66,67,33,16,240,Reg5,3
21073,105,60,45,66,67,36,16,241,Reg5,3
21074,28,9,19,58,58,28,52,242,Reg5,1
21077,22,10,12,57,53,22,48,243,Reg5,1
21078,82,44,38,69,60,28,36,245,Reg5,3
21078,82,44,38,69,60,30,36,246,Reg5,3
21078,82,44,38,69,60,24,36,244,Reg5,3
21079,38,22,16,52,52,38,60,247,Reg5,1
21080,34,19,15,70,60,34,14,248,Reg1,1
21081,14,7,7,65,52,14,49,249,Reg1,1
21088,53,26,27,82,75,28,7,250,Reg1,2
21088,53,26,27,82,75,25,7,251,Reg1,2
21089,68,37,31,75,73,32,14,252,Reg1,2
21089,68,37,31,75,73,28,14,253,Reg1,2
21090,23,9,14,71,74,23,42,254,Reg1,1
21091,16,6,10,84,73,16,0,255,Reg2,1
21093,35,18,17,80,70,35,0,256,Reg1,1
21094,97,45,52,74,62,27,3,257,Reg1,3
21094,97,45,52,74,62,28,3,259,Reg1,3
21094,97,45,52,74,62,28,3,258,Reg1,3
21096,69,38,31,81,67,28,3,261,Reg1,2
21096,69,38,31,81,67,29,3,262,Reg1,2
21097,73,37,36,80,69,37,0,263,Reg1,2
21097,73,37,36,80,69,36,0,264,Reg1,2
21102,49,23,26,77,74,24,8,265,Reg1,2
21102,49,23,26,77,74,25,8,266,Reg1,2
21105,16,10,6,80,74,16,0,267,Reg1,1
21111,22,14,8,70,72,22,49,268,Reg2,1
21112,90,46,44,73,66,32,7,269,Reg1,3
21112,90,46,44,73,66,30,7,270,Reg1,3
21112,90,46,44,73,66,28,7,271,Reg1,3
21114,22,9,13,84,75,22,1,272,Reg1,1
21116,19,6,13,74,66,19,25,273,Reg1,1
21117,70,33,37,64,67,35,21,274,Reg2,2
21117,70,33,37,64,67,35,21,275,Reg2,2
21118,55,25,30,67,71,30,24,276,Reg2,2
21118,55,25,30,67,71,25,24,277,Reg2,2
21119,23,13,10,66,47,23,63,278,Reg2,1
21123,27,13,14,79,73,27,0,279,Reg1,1
21126,28,12,16,76,74,28,3,280,Reg1,1
21127,48,24,24,60,57,26,43,281,Reg2,2
21127,48,24,24,60,57,22,43,282,Reg2,2
21130,26,10,16,75,75,26,22,283,Reg1,1
21132,45,18,27,83,71,22,0,284,Reg1,2
21132,45,18,27,83,71,23,0,285,Reg1,2
21134,14,5,9,71,49,14,10,286,Reg1,1
21137,115,51,64,71,69,35,18,287,Reg2,3
21137,115,51,64,71,69,34,18,288,Reg2,3
21137,115,51,64,71,69,12,18,289,Reg2,3
21138,26,14,12,61,54,26,48,290,Reg2,1
21141,37,13,24,79,69,37,0,291,Reg1,1
21144,51,29,22,85,84,26,1,293,Reg1,2
21144,51,29,22,85,84,25,1,292,Reg1,2
21145,97,56,41,81,76,31,3,294,Reg1,3
21145,97,56,41,81,76,30,3,295,Reg1,3
21145,97,56,41,81,76,36,3,296,Reg1,3
21146,62,29,33,76,67,27,17,297,Reg6,2
21146,62,29,33,76,67,26,17,298,Reg6,2
21147,118,55,63,77,77,39,3,300,Reg6,3
21147,118,55,63,77,77,39,3,301,Reg6,3
21147,118,55,63,77,77,40,3,299,Reg6,3
21149,69,31,38,70,69,35,20,303,Reg6,2
21149,69,31,38,70,69,34,20,304,Reg6,2
21151,120,56,64,80,78,40,4,306,Reg6,3
21151,120,56,64,80,78,40,4,307,Reg6,3
21151,120,56,64,80,78,40,4,305,Reg6,3
21153,31,15,16,69,62,31,30,308,Reg6,1
21162,49,25,24,72,69,21,22,310,Reg2,2
21162,49,25,24,72,69,20,22,311,Reg2,2
21163,27,14,13,65,53,27,20,312,Reg1,1
21168,51,25,26,76,64,26,0,314,Reg1,2
21168,51,25,26,76,64,25,0,315,Reg1,2
21171,21,12,9,88,83,21,0,316,Reg1,1
21173,28,15,13,82,71,28,4,317,Reg1,1
21175,43,19,24,76,65,22,0,318,Reg1,2
21175,43,19,24,76,65,21,0,319,Reg1,2
21176,19,11,8,84,75,19,3,320,Reg1,1
21178,47,20,27,63,56,23,21,321,Reg5,2
21178,47,20,27,63,56,24,21,322,Reg5,2
21179,102,55,47,65,62,33,23,323,Reg5,3
21179,102,55,47,65,62,35,23,324,Reg5,3
21179,102,55,47,65,62,34,23,325,Reg5,3
21181,91,43,48,76,76,33,15,327,Reg5,3
21181,91,43,48,76,76,29,15,328,Reg5,3
21181,91,43,48,76,76,29,15,326,Reg5,3
21182,62,33,29,68,69,31,5,329,Reg5,2
21182,62,33,29,68,69,31,5,330,Reg5,2
21184,70,38,32,67,67,31,33,331,Reg5,2
21184,70,38,32,67,67,25,33,332,Reg5,2
21185,29,17,12,68,65,29,35,333,Reg5,1
21190,81,32,49,58,61,36,30,334,Reg5,2
21190,81,32,49,58,61,36,30,335,Reg5,2
21191,149,68,81,70,69,47,11,336,Reg5,4
21191,149,68,81,70,69,42,11,338,Reg5,4
21191,149,68,81,70,69,15,11,339,Reg5,4
21191,149,68,81,70,69,45,11,337,Reg5,4
21192,60,33,27,57,58,30,20,340,Reg5,2
21192,60,33,27,57,58,30,20,341,Reg5,2
21194,60,30,30,68,65,31,28,342,Reg5,2
21194,60,30,30,68,65,29,28,343,Reg5,2
21195,55,29,26,58,50,29,71,344,Reg5,2
21195,55,29,26,58,50,26,71,345,Reg5,2
21196,21,18,3,55,56,21,76,346,Reg5,1
21200,33,14,19,76,68,33,5,347,Reg1,1
21201,33,13,20,61,58,13,49,348,Reg2,2
21201,33,13,20,61,58,20,49,349,Reg2,2
21203,64,29,35,77,78,27,8,351,Reg6,2
21203,64,29,35,77,78,30,8,350,Reg6,2
21205,102,54,48,73,73,30,21,353,Reg6,3
21205,102,54,48,73,73,31,21,355,Reg6,3
21205,102,54,48,73,73,33,21,354,Reg6,3
21206,44,23,21,68,65,44,32,356,Reg6,1
21208,68,32,36,65,65,34,40,357,Reg3,2
21208,68,32,36,65,65,34,40,358,Reg3,2
21209,63,29,34,71,74,32,41,359,Reg3,2
21209,63,29,34,71,74,31,41,360,Reg3,2
21210,56,21,35,69,65,28,46,362,Reg3,2
21210,56,21,35,69,65,28,46,361,Reg3,2
21211,15,4,11,63,66,15,56,363,Reg3,1
21212,58,33,25,71,66,29,44,364,Reg3,2
21212,58,33,25,71,66,29,44,365,Reg3,2
21213,20,11,9,65,64,20,0,366,Reg1,1
21214,49,24,25,79,74,24,4,367,Reg1,2
21214,49,24,25,79,74,25,4,368,Reg1,2
21215,51,22,29,80,71,26,3,369,Reg1,2
21215,51,22,29,80,71,25,3,370,Reg1,2
21216,20,9,11,69,69,20,39,371,Reg2,1
21221,67,32,35,76,79,35,6,372,Reg1,2
21221,67,32,35,76,79,32,6,373,Reg1,2
21227,109,57,52,77,61,37,4,374,Reg1,3
21227,109,57,52,77,61,36,4,375,Reg1,3
21227,109,57,52,77,61,36,4,376,Reg1,3
21229,17,8,9,81,79,17,5,377,Reg1,1
21233,12,6,6,74,82,12,32,378,Reg2,1
21235,27,12,15,62,51,27,35,379,Reg2,1
21236,36,17,19,68,70,36,35,380,Reg2,1
21241,47,19,28,70,63,24,2,381,Reg1,2
21241,47,19,28,70,63,23,2,382,Reg1,2
21258,22,11,11,62,46,22,63,383,Reg2,1
21265,67,40,27,73,66,34,34,384,Reg3,2
21265,67,40,27,73,66,33,34,385,Reg3,2
21268,103,58,45,70,64,24,38,387,Reg6,3
21268,103,58,45,70,64,14,38,388,Reg6,3
21268,103,58,45,70,64,24,38,386,Reg6,3
21273,25,11,14,60,61,25,33,389,Reg5,1
21275,21,12,9,77,71,21,11,390,Reg1,1
21277,60,24,36,72,60,22,11,392,Reg2,2
21277,60,24,36,72,60,25,11,393,Reg2,2
21279,52,31,21,69,65,27,34,394,Reg6,2
21279,52,31,21,69,65,25,34,395,Reg6,2
21280,15,7,8,84,85,15,7,396,Reg1,1
21281,47,27,20,77,73,27,43,397,Reg2,2
21281,47,27,20,77,73,20,43,398,Reg2,2
21282,63,31,32,68,73,25,31,399,Reg5,2
21282,63,31,32,68,73,23,31,400,Reg5,2
21285,25,11,14,74,71,25,45,401,Reg3,1
21293,71,49,22,71,67,27,27,402,Reg1,2
21293,71,49,22,71,67,31,27,403,Reg1,2
21307,71,37,34,67,57,35,10,404,Reg2,2
21307,71,37,34,67,57,36,10,405,Reg2,2
21310,56,26,30,78,66,30,44,406,Reg2,2
21310,56,26,30,78,66,26,44,407,Reg2,2
21312,98,52,46,68,61,33,10,408,Reg2,3
21312,98,52,46,68,61,28,10,409,Reg2,3
21312,98,52,46,68,61,28,10,410,Reg2,3
21313,35,15,20,81,58,35,3,411,Reg4,1
21315,88,56,32,81,69,28,8,412,Reg4,3
21315,88,56,32,81,69,52,8,413,Reg4,3
21315,88,56,32,81,69,8,8,414,Reg4,3
21316,29,15,14,59,58,29,24,415,Reg2,1
21322,115,53,62,67,72,36,24,416,Reg5,3
21322,115,53,62,67,72,32,24,418,Reg5,3
21322,115,53,62,67,72,35,24,417,Reg5,3
21323,51,25,26,81,73,25,4,419,Reg1,2
21323,51,25,26,81,73,26,4,420,Reg1,2
21327,33,16,17,79,69,33,1,421,Reg4,1
21328,85,47,38,67,60,37,12,422,Reg2,2
21328,85,47,38,67,60,13,12,423,Reg2,2
21330,87,37,50,61,57,30,6,424,Reg2,3
21330,87,37,50,61,57,28,6,425,Reg2,3
21330,87,37,50,61,57,29,6,426,Reg2,3
21331,53,33,20,65,54,25,19,428,Reg2,2
21331,53,33,20,65,54,28,19,427,Reg2,2
21338,83,33,50,70,59,37,5,429,Reg4,2
21338,83,33,50,70,59,38,5,430,Reg4,2
21340,85,38,47,68,61,28,30,431,Reg5,3
21340,85,38,47,68,61,28,30,432,Reg5,3
21340,85,38,47,68,61,29,30,433,Reg5,3
21341,107,49,58,72,64,40,0,434,Reg2,3
21341,107,49,58,72,64,29,0,436,Reg2,3
21341,107,49,58,72,64,38,0,435,Reg2,3
21350,77,40,37,56,61,31,32,437,Reg2,2
21350,77,40,37,56,61,31,32,438,Reg2,2
21351,55,30,25,85,77,29,0,439,Reg4,2
21351,55,30,25,85,77,26,0,440,Reg4,2
21356,60,27,33,73,67,27,28,441,Reg6,2
21356,60,27,33,73,67,33,28,442,Reg6,2
21357,20,13,7,83,74,20,0,443,Reg4,1
21359,42,23,19,76,67,21,10,444,Reg6,2
21359,42,23,19,76,67,21,10,445,Reg6,2
21361,129,59,70,73,65,38,2,446,Reg2,3
21361,129,59,70,73,65,39,2,447,Reg2,3
21361,129,59,70,73,65,39,2,448,Reg2,3
21362,55,32,23,66,66,28,13,449,Reg2,2
21362,55,32,23,66,66,27,13,450,Reg2,2
21363,146,83,63,67,69,34,9,451,Reg5,4
21363,146,83,63,67,69,38,9,452,Reg5,4
21363,146,83,63,67,69,40,9,454,Reg5,4
21363,146,83,63,67,69,25,9,453,Reg5,4
21366,133,69,64,80,75,34,1,455,Reg2,4
21366,133,69,64,80,75,34,1,457,Reg2,4
21366,133,69,64,80,75,31,1,458,Reg2,4
21366,133,69,64,80,75,34,1,456,Reg2,4
21367,133,63,70,77,70,33,3,460,Reg2,4
21367,133,63,70,77,70,33,3,461,Reg2,4
21367,133,63,70,77,70,34,3,462,Reg2,4
21367,133,63,70,77,70,33,3,459,Reg2,4
21370,84,44,40,75,72,29,9,463,Reg2,3
21370,84,44,40,75,72,28,9,464,Reg2,3
21370,84,44,40,75,72,27,9,465,Reg2,3
21371,68,30,38,79,70,33,3,466,Reg6,2
21371,68,30,38,79,70,35,3,467,Reg6,2
21373,49,20,29,79,71,24,1,468,Reg2,2
21373,49,20,29,79,71,25,1,469,Reg2,2
21374,33,12,21,86,84,33,0,470,Reg2,1
21375,58,31,27,69,69,29,11,471,Reg5,2
21375,58,31,27,69,69,29,11,472,Reg5,2
21379,53,28,25,63,66,26,12,474,Reg2,2
21379,53,28,25,63,66,27,12,473,Reg2,2
31001,70,30,40,67,59,29,31,475,Reg2,2
31001,70,30,40,67,59,26,31,476,Reg2,2
31002,43,19,24,73,67,20,41,477,Reg2,2
31002,43,19,24,73,67,23,41,478,Reg2,2
31007,54,25,29,80,74,27,7,480,Reg6,2
31007,54,25,29,80,74,27,7,479,Reg6,2
31008,20,16,4,64,67,20,42,481,Reg6,1
31012,25,13,12,72,64,25,4,482,Reg1,1
31017,130,82,48,77,71,35,12,483,Reg6,3
31017,130,82,48,77,71,35,12,484,Reg6,3
31017,130,82,48,77,71,34,12,485,Reg6,3
31019,20,11,9,67,68,20,32,486,Reg6,1
31021,64,28,36,70,60,25,32,487,Reg5,2
31021,64,28,36,70,60,26,32,488,Reg5,2
31022,129,63,66,73,66,32,7,489,Reg5,4
31022,129,63,66,73,66,33,7,491,Reg5,4
31022,129,63,66,73,66,33,7,492,Reg5,4
31022,129,63,66,73,66,31,7,490,Reg5,4
31023,148,86,62,68,64,33,5,493,Reg5,4
31023,148,86,62,68,64,35,5,495,Reg5,4
31023,148,86,62,68,64,14,5,496,Reg5,4
31023,148,86,62,68,64,33,5,494,Reg5,4
31025,67,35,32,70,68,34,17,498,Reg5,2
31025,67,35,32,70,68,33,17,497,Reg5,2
31027,89,45,44,70,68,36,10,500,Reg5,2
31027,89,45,44,70,68,38,10,501,Reg5,2
31028,47,25,22,69,64,22,13,502,Reg5,2
31028,47,25,22,69,64,25,13,503,Reg5,2
31029,19,12,7,39,39,19,58,504,Reg5,1
31030,36,24,12,63,63,36,31,505,Reg5,1
31031,44,29,15,77,71,23,41,506,Reg5,2
31031,44,29,15,77,71,21,41,507,Reg5,2
31033,25,11,14,43,36,25,41,508,Reg5,1
31035,78,35,43,69,65,39,26,510,Reg5,2
31035,78,35,43,69,65,39,26,511,Reg5,2
31037,121,59,62,84,84,40,1,512,Reg4,3
31037,121,59,62,84,84,40,1,513,Reg4,3
31037,121,59,62,84,84,41,1,514,Reg4,3
31038,91,54,37,73,74,32,1,515,Reg4,3
31038,91,54,37,73,74,27,1,516,Reg4,3
31038,91,54,37,73,74,32,1,517,Reg4,3
31039,158,82,76,81,81,38,3,518,Reg4,4
31039,158,82,76,81,81,40,3,519,Reg4,4
31039,158,82,76,81,81,39,3,520,Reg4,4
31039,158,82,76,81,81,41,3,521,Reg4,4
31040,58,27,31,78,79,29,4,522,Reg4,2
31040,58,27,31,78,79,29,4,523,Reg4,2
31045,47,29,18,78,78,23,8,524,Reg4,2
