sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte,fte2,dfte,gap,dw,sample
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,,1,,2,6.5,16.5,1.03,1.03,.51999998,3,3,1,1,111792,1,3.5,35,3,4.3000002,26,.079999998,1,2,6.5,16.5,1.03,,.94,4,4,37.5,21,-16.5,0,,0
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,,0,,2,10,13,1.01,.89999998,2.3499999,4,3,1,1,111292,,0,15,4,4.4499998,13,.050000001,0,2,10,13,1.01,.88999999,2.3499999,4,4,9.75,7.5,-2.25,0,,0
506,2,1,0,0,0,0,1,0,0,0,3,7,2,,13,.37,0,30,2,11,10,.94999999,.74000001,2.3299999,3,3,1,1,111292,,3,7,4,5,19,.25,,1,11,11,.94999999,.74000001,2.3299999,4,3,6.5,6.5,0,0,,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,.1,1,0,2,10,12,.87,.81999999,1.79,2,2,1,1,111492,,0,36,2,5.25,26,.15000001,0,2,10,12,.92000002,.79000002,.87,2,2,30,18,-12,0,.25,1
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,.15000001,1,0,3,10,12,.87,.76999998,1.65,2,2,1,1,111492,,28,3,6,4.75,13,.15000001,0,2,10,12,1.01,.83999997,.94999999,2,2,19,29.5,10.5,0,-.75,1
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,.07,0,45,2,10,12,.87,.76999998,.94999999,2,2,1,1,111492,,,,,,26,,0,2,10,12,,.83999997,1.79,3,3,15.5,,,0,,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,.1,0,0,2,6,18,1.04,.88,.94,3,3,1,1,110792,,15,18,5,4.75,26,.15000001,0,2,6,18,1.04,.86000001,.94,3,3,67.5,24,-43.5,0,-.25,1
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,.25,0,0,2,0,24,1.05,.83999997,.95999998,6,4,1,1,111792,2,26,9,6,5,26,.2,0,2,0,24,1.11,.83999997,.94,6,3,18.5,30.5,12,0,0,1
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5.25,13,.25,0,0,1,11,10,.73000002,.73000002,2.3199999,2,2,1,1,111292,,3,12,2,5,13,.25,0,2,11,11,.94,.83999997,2.3199999,4,3,6,9,3,0,-.25,1
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,.15000001,0,0,1,11,10,.94,.73000002,2.3199999,4,4,1,1,111792,1,2,9,2,5,13,.25,0,1,11,10.5,.89999998,.73000002,2.3199999,4,3,7,6.5,-.5,0,0,1
462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,5,13,.37,1,5,2,9,12.5,1.05,1.01,1.11,4,4,2,1,122292,1,1,25,4,4.75,13,.2,0,2,9,12,1.01,1.01,.88999999,6,3,12.5,13.5,1,0,-.25,1
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,.17,0,0,2,6,18,.94999999,.94,.94999999,4,3,1,1,110792,,9,32,4,5,26,.13,1,2,6,18,.97000003,.83999997,.86000001,4,3,55,25,-30,0,0,1
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,.25,0,80,2,6,18,.92000002,.72000003,.95999998,3,2,1,1,111692,1,7,39,4,4.5,41,.23,0,2,6,18,.92000002,.81,.87,3,3,21.5,26.5,5,0,-.5,1
470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,5.5,,.30000001,0,0,2,6,18,.97000003,.83999997,.94,3,3,1,1,111792,2,18,10,3,4.75,13,.15000001,1,2,6,18,1.03,.83999997,.94,3,2,25.5,23,-2.5,0,-.75,1
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,.37,0,0,2,9,12.5,1.13,.98000002,1.01,3,1,2,1,122292,1,5,20,3,4.5,,0,0,2,8.5,13,1.09,.94,.94,3,2,10.5,15,4.5,0,-.5,1
481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,5.25,26,.25,1,0,3,11,10,.94999999,.74000001,2.53,5,4,1,1,111792,2,15,4,3,5,26,.25,1,2,11,11,.74000001,.73000002,2.53,3,3,13.75,17,3.25,0,-.25,1
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,.07,1,0,2,11,10,.94,.73000002,2.3199999,4,3,1,1,111292,,4,13,3,4.75,13,.18000001,0,1,11,11,.94999999,.74000001,2.3299999,4,3,8.5,10.5,2,0,-.25,1
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,.17,1,0,2,10,11.5,1.11,.91000003,.94999999,6,3,1,1,111192,,6,20,3,4.75,26,.1,0,2,10.5,11,1.05,1.01,.94,6,1,13,16,3,0,-.25,1
488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,.25,1,0,2,6,16,1.05,.79000002,1.01,5,5,1,1,111192,,5,15,3,4.75,26,.13,0,2,7,15,1.01,1.01,.94,5,3,26.5,12.5,-14,0,-.25,1
489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,.37,1,6,2,7,14,1.05,1.01,.94,4,4,1,1,111892,2,2,19,3,4.25,26,.13,0,2,10,11.5,1.01,1.01,1.05,6,3,16.5,11.5,-5,0,-.75,1
490,3,1,0,0,0,0,0,1,0,0,10,12.5,4,5,13,.12,0,0,2,6,16,1.05,1.01,1.05,4,4,1,1,111692,1,2,18,3,5,26,.28,0,2,6,16,1.01,1.01,1.05,5,3,16.25,11,-5.25,0,0,1
493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,.25,0,0,2,6,16,1.05,.89999998,2.01,6,3,1,1,111192,,0,30,4,4.9000001,13,.25,0,2,6,16,1.02,1.01,.83999997,3,3,33,15,-18,0,-.099999905,1
495,3,0,0,0,0,0,0,1,0,2,4,28,3,5,26,.25,0,2,2,7,15,1.05,1.01,.94,3,3,1,1,111192,,8,20,3,5,26,.25,1,2,6,16,.95999998,1.01,1.01,5,3,18,18,0,0,0,1
496,3,1,0,0,0,0,0,1,0,0,10,15,3,5,13,.17,1,0,2,6,16,1.05,.89999998,.73000002,5,3,1,1,111192,,10,10,3,4.75,19,.18000001,0,2,6,16,1.01,1.01,.88999999,,,17.5,15,-2.5,0,-.25,1
499,4,1,0,0,0,0,0,1,0,0,0,28,5,5,26,.07,1,11,2,10,12,.89999998,.69,1.75,2,2,1,1,111492,1,0,31,5,5,26,.1,1,2,10,12,.89999998,.69,.94,2,2,14,15.5,1.5,0,0,1
509,3,1,0,0,0,0,0,1,0,2,3,16,3,5,13,.25,0,30,2,6,16,1.05,.94999999,1.16,6,3,1,1,111192,,5.5,10,3,4.25,26,.2,0,2,6.5,15.5,1,1.01,.94,3,2,11,10.5,-.5,0,-.75,1
515,3,1,0,0,0,0,0,1,0,0,7,16,4,5,13,.2,0,33,2,6,16,1.05,.94,1.16,5,3,1,1,111192,,5,19,3,4.75,13,.18000001,0,2,6,16,1.01,1.01,.94,5,4,15,14.5,-.5,0,-.25,1
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,.25,0,33,2,6.5,16.5,.98000002,.83999997,.83999997,5,3,1,1,111092,,6,25,7,4.25,52,.18000001,0,2,6.5,16.5,.98000002,.83999997,.86000001,6,3,25.5,18.5,-7,0,0,1
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,,0,100,2,6.5,17.5,1.03,.73000002,.51999998,4,2,1,1,111792,,5,15,3,,,,0,2,6.5,16.5,1.05,,.63,4,2,17,12.5,-4.5,0,,0
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,.15000001,0,100,2,6.5,16.5,.98000002,.81999999,.80000001,3,3,1,1,111092,,7,25,6,4.25,8,.13,0,2,6.5,17.5,.98000002,.81999999,.87,3,2,20,19.5,-.5,0,0,1
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,.2,0,100,2,6.5,16.5,.98000002,.81999999,.85000002,3,3,1,1,111892,2,0,42,6,4.25,,,0,2,6.5,17.5,.94,.77999997,.91000003,3,2,13.5,21,7.5,0,0,1
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,,,0,100,2,6.5,16.5,.98000002,.82999998,.86000001,3,3,1,1,111792,1,0,22,5,4.25,26,.25,0,2,6.5,16.5,.94,,,3,2,19,11,-8,0,-.25,1
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,.25,0,25,2,7,16,.98000002,.82999998,.86000001,3,3,1,1,111092,,11,12,2,4.25,26,.15000001,0,3,6.5,17.5,.98000002,.75,.86000001,3,3,12,17,5,0,0,1
47,1,0,0,0,0,0,1,0,0,2,25,15,,4.5,4,.17,0,75,2,6,17,1.05,.86000001,.86000001,3,3,1,1,111092,,0,45,2,4.25,,,0,2,6,18,1.05,.86000001,.86000001,3,,32.5,22.5,-10,0,-.25,0
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,.2,1,31,3,7,14,1.01,.83999997,.63,4,3,1,1,111092,,7.5,25,5,4.3800001,13,.25,1,3,7,14,.98000002,.79000002,.87,4,3,16,20,4,0,.13000011,1
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,,0,20,2,10,12,1.01,.88999999,3.5,4,3,1,1,111292,,4,20,3,4.75,13,.1,0,2,10,13,1.01,.88999999,2.3499999,4,3,11,14,3,0,.25,1
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,,.15000001,0,100,2,10,13,1.01,.88999999,2.3499999,4,3,1,1,111792,2,6,15,3,4.25,,,0,2,10,13,1,.88999999,2.3499999,5,3,7.5,13.5,6,0,0,1
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.6700001,26,.07,1,70,2,10,12,.87,.79000002,.89999998,2,2,1,1,111492,1,7,18,4,4.5,26,.13,1,2,10,12,1.01,.77999997,.89999998,2,2,35,16,-19,0,-.17000008,1
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,.15000001,0,80,2,10,12,.87,.76999998,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,.079999998,1,2,10,12,1.04,.83999997,.94,2,2,20.5,14,-6.5,0,-.25,1
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,.1,0,90,1,7.5,10.5,.91000003,.88999999,.81,2,2,1,1,111492,1,0,16,4,4.25,26,.1,0,1,7.5,10.5,1.01,.83999997,.86000001,2,2,7.5,8,.5,0,0,1
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,.1,0,75,1,10.5,11.5,.94,.74000001,.86000001,2,2,1,1,111792,2,10,20,5,4.25,4,.25,0,1,10,12,.98000002,.83999997,.86000001,2,2,20,20,0,0,0,1
407,2,1,0,0,0,0,0,1,0,0,2,12,3,4.75,52,.12,0,90,3,11,10,.94999999,.74000001,2.3299999,4,3,1,1,111492,,1,14,3,4.25,4,.30000001,0,1,11,11,.94999999,.83999997,2.53,4,3,8,8,0,0,-.5,1
430,1,0,0,0,0,0,1,0,0,0,20,25,4,4.25,13,.15000001,0,44,2,7,15,.94999999,.75,.80000001,3,3,1,1,110792,,0,48,3,4.25,26,.13,0,2,7,16,.91000003,.73000002,.75,3,3,32.5,24,-8.5,0,0,1
432,1,0,0,0,0,0,1,0,0,0,20,55,5,4.5,17,.15000001,0,75,2,7,16,.94,.74000001,.79000002,4,3,1,1,110792,1,25,10,4,5.0500002,26,.2,0,2,7,16,.94,.74000001,.79000002,3,1,47.5,30,-17.5,0,.55000019,1
433,1,0,0,0,0,0,1,0,0,0,10,30,4,4.25,13,.15000001,0,75,2,7,16,.94999999,.73000002,.80000001,3,3,2,1,123092,6,0,42,4,,,,0,2,7,16,.94,.74000001,.74000001,3,3,25,21,-4,0,,0
434,1,0,0,0,0,0,1,0,0,2,15,50,5,4.25,6,.25,0,77,2,7,16,.94999999,.75,,3,3,1,1,111692,,19,29,4,4.25,,,0,2,7,16,.94999999,.80000001,.80000001,3,3,40,33.5,-6.5,0,0,1
435,1,0,0,0,0,0,1,0,0,1,1,37.5,3,4.25,4,.17,1,25,2,6.5,15.5,.94999999,.75,.79000002,3,3,1,1,110792,,0,32,5,4.25,6,.15000001,1,2,6.5,15.5,.94,.74000001,.79000002,3,2,19.75,16,-3.75,0,0,1
438,2,0,0,0,0,0,1,0,0,2,0,9,3,4.25,52,.07,0,11,2,11,8,1.01,.83999997,2.4300001,2,1,1,1,111292,,2,9,3,4.25,52,.050000001,0,2,11,9,.94999999,.83999997,2.4300001,2,1,4.5,6.5,2,0,0,1
440,4,0,0,0,0,0,1,0,0,2,0,25,3,4.25,19,.15000001,0,100,2,10.5,11.5,.88999999,.79000002,2.01,2,2,1,1,111392,,0,30,3,,,,0,2,10.5,11.5,1,.80000001,1.8,2,2,12.5,15,2.5,0,,0
441,4,0,0,0,0,0,1,0,0,2,30,10,3,4.25,4,.25,1,100,2,10.5,11.5,.88999999,.76999998,.83999997,2,2,1,1,111392,,0,30,3,4.25,4,.25,0,2,10.5,11.5,1,.80000001,1.8099999,2,2,35,15,-20,0,0,1
443,4,0,0,0,0,0,1,0,0,0,4,19,4,4.25,4,.25,0,95,2,10.5,11.5,.88999999,.79000002,1.8,2,2,1,1,111392,,5,20,4,4.3499999,17,.18000001,0,2,10.5,11.5,1,.80000001,1.8099999,2,2,13.5,15,1.5,0,.099999905,1
444,4,0,0,0,0,0,1,0,0,2,12,20,3,4.25,19,.37,0,,2,10.5,12.5,.88999999,.80000001,.83999997,2,2,1,1,111392,,10,35,4,4.5,4,.30000001,0,2,10.5,11.5,.88999999,,.79000002,2,2,22,27.5,5.5,0,.25,1
446,1,0,0,0,0,0,0,1,0,2,,,3,4.5,4,.25,0,50,2,6,18,1.03,.83999997,.94,,,1,1,110792,,7,24,4,5,4,.25,1,2,6,18,.97000003,.83999997,.91000003,4,3,,19,,0,.5,0
448,1,0,0,0,0,0,0,1,0,0,8,18,4,4.75,4,.25,1,78,2,6,18,.97000003,.83999997,.91000003,3,3,1,1,111892,1,8,27,3,4.5,13,.25,0,2,6,18,.95999998,.82999998,.87,3,3,17,21.5,4.5,0,-.25,1
449,1,0,0,0,0,0,0,1,0,2,0,25,3,4.8699999,3.5,,0,3,2,6,18,,,,4,4,1,1,110792,,15,15,5,5,52,.25,0,2,6,18,.97000003,.83999997,.73000002,3,3,12.5,22.5,10,0,.13000011,1
450,1,0,0,0,0,0,0,1,0,0,2,21,3,4.75,13,.15000001,0,50,2,6.5,16.5,.97000003,.81999999,.83999997,3,3,1,1,111892,2,27.5,8,3,4.75,13,.25,1,2,6,18,.91000003,.83999997,.86000001,3,3,12.5,31.5,19,0,0,1
454,2,1,0,0,0,0,0,1,0,0,1,9,3,4.5,4,.15000001,0,,2,11,10,.94,.73000002,2.53,4,3,1,1,111292,,0,18,5,5,13,.25,0,1,11,11,.94,.73000002,2.6400001,4,3,5.5,9,3.5,0,.5,1
459,3,1,0,0,0,0,0,1,0,0,5,20,3,4.25,13,.37,0,,2,6,16,1.05,.89999998,.94,5,,2,1,122292,1,0,20,5,4.3499999,28,.15000001,1,2,7,15,1.01,1.01,.88999999,4,2,15,10,-5,0,.099999905,1
466,4,0,0,0,0,0,0,1,0,2,8,17.5,4,4.75,17,.30000001,1,65,3,10.5,11.5,.94,.80000001,.94,2,2,1,1,111892,5,14,12,3,,52,,0,1,10.5,11.5,.94,,,2,2,16.75,20,3.25,0,,0
471,1,0,0,0,0,0,0,1,0,2,25,20,4,4.25,26,,0,50,2,6,18,.97000003,.83999997,.91000003,2,2,1,1,111692,,12,23,3,4.25,26,.15000001,0,2,6,18,.97000003,.86000001,.91000003,3,1,35,23.5,-11.5,0,0,1
472,1,0,0,0,0,0,0,1,0,2,37.5,2,3,4.25,52,,0,80,2,6.5,16.5,.97000003,1.05,.91000003,3,3,1,1,110792,,8,25,3,4.9000001,13,.18000001,0,2,6,17,.95999998,.83999997,.91000003,3,3,38.5,20.5,-18,0,.6500001,1
473,1,0,0,0,0,0,0,1,0,0,5,27,4,4.75,26,.5,1,50,2,6,17,.97000003,.86000001,.88999999,3,2,1,1,111792,1,26,15,2,4.5,19,.13,0,2,6,17,.97000003,.83999997,.86000001,3,3,18.5,33.5,15,0,-.25,1
475,1,0,0,0,0,0,0,1,0,1,25,8,3,4.5,,,0,60,1,7,15,1.02,.88999999,.89999998,3,3,1,1,110792,,10,16,3,4.5,26,.15000001,0,1,7,15,1.02,.94,.89999998,3,3,29,18,-11,0,0,1
476,1,0,0,0,0,0,1,0,0,2,6,30,3,4.25,52,.12,0,60,2,6,18,.94999999,.79000002,.91000003,3,3,1,1,111792,1,5,30,3,4.75,52,.2,0,2,6,18,.95999998,.83999997,1.1799999,3,3,21,20,-1,0,.5,1
477,1,0,0,0,0,0,0,1,0,1,8,28,4,4.25,39,.12,1,50,2,6.5,16.5,.97000003,.77999997,.99000001,3,3,1,1,110792,,6,20,4,6.25,26,.5,0,2,6,17,.95999998,.83999997,.88999999,3,3,22,16,-6,0,2,1
478,1,0,0,0,0,0,1,0,0,0,32,25,4,4.5,13,.22,0,30,2,6,19,.97000003,.86000001,.91000003,3,3,2,1,122292,1,8,30,4,4.3499999,13,.25,0,2,6,18,1.01,.88,.91000003,3,2,44.5,23,-21.5,0,-.1500001,1
485,2,1,0,0,0,0,0,1,0,2,1,9,3,4.5,26,.37,0,80,2,11,10,.94999999,.74000001,2.3299999,4,3,1,1,111292,,4,12,3,4.5,19,,0,2,11,11,1.01,.73000002,2.3199999,4,3,5.5,10,4.5,0,0,1
491,3,0,0,0,0,0,0,1,0,0,4,25,2,4.5,13,.37,0,100,2,8.5,13,1.05,.91000003,.94999999,3,2,2,3,123092,3,0,0,0,,,,,,,,,,,,,16.5,0,-16.5,0,,0
492,3,1,0,0,0,0,0,1,0,0,2,16,3,4.5,13,.25,0,75,2,9,12.5,1.11,1.05,.94,2,1,1,1,111192,,4,15,2,4.5,19,.1,0,2,9,12.5,1.11,1.11,1.05,2,1,10,11.5,1.5,0,0,1
497,4,1,0,0,0,0,0,1,0,0,12,15,3,4.5,13,.15000001,1,37,2,10,12,.91000003,.83999997,.83999997,2,2,1,1,111392,,,,5,,,,0,2,10,12,1.01,.89999998,.79000002,2,2,19.5,,,0,,0
498,4,1,0,0,0,0,0,1,0,2,20,10,3,4.75,26,.1,1,75,2,10,12,.91000003,.83999997,.85000002,2,2,1,1,111792,2,21,5.5,3,5,26,,1,2,10,12,.98000002,.83999997,.89999998,2,2,25,23.75,-1.25,0,.25,1
501,1,0,0,0,0,0,0,1,0,0,14,15,3,4.25,4,.37,1,63,2,6.5,16.5,.83999997,.83999997,.94,3,3,1,1,111792,2,30,15,6,4.75,4,.34999999,1,1,6,18,1.03,.91000003,.91000003,3,3,21.5,37.5,16,0,.5,1
503,1,0,0,0,0,0,0,1,0,2,7.5,14,4,4.75,,.12,0,100,2,6.5,16.5,.97000003,.83999997,.91000003,3,3,1,1,110792,,35,6.5,3,4.5,13,.15000001,0,2,6,18,.97000003,.83999997,1,3,3,14.5,38.25,23.75,0,-.25,1
510,3,1,0,0,0,0,0,1,0,0,7,25,4,4.25,26,.25,0,60,2,6,16,1.05,.91000003,1.05,3,3,1,1,111892,2,2.5,17.5,3,,13,,1,2,7,15,1.05,1.01,,5,3,19.5,11.25,-8.25,0,,0
511,3,1,0,0,0,0,0,1,0,0,4,16,3,4.75,9,.15000001,0,75,2,6,16.5,1.01,.91000003,1.05,4,4,1,1,111192,,3,13,3,4.75,,,0,2,7,15,1.01,1.01,.88999999,6,2,12,9.5,-2.5,0,0,1
514,3,0,0,0,0,0,0,1,0,0,5,20,3,4.5,26,.25,0,25,2,6,16,.94,.89999998,.94,5,3,1,1,111192,1,23,16,3,4.25,10,.2,0,2,6,16,.94999999,.94999999,1.05,6,4,15,31,16,0,-.25,1
516,3,1,0,0,0,0,0,1,0,2,6,22.5,3,4.75,13,.12,0,23,3,6,16,1.05,.91000003,1.05,4,3,1,1,111692,,2,12,2,4.9099998,14,.18000001,1,2,8,14,1.01,.94999999,.88999999,5,3,17.25,8,-9.25,0,.15999985,1
521,1,0,0,0,0,0,1,0,0,0,2.5,20,3,4.25,13,,1,50,2,6.5,16.5,,,.51999998,4,4,1,1,110792,,0,12,8,4.4000001,13,.13,1,2,7,16,.41,.83999997,.88999999,4,2,12.5,6,-6.5,0,.1500001,1
522,1,0,0,0,0,0,1,0,0,2,2,30,4,4.3499999,26,.2,0,75,3,7,16,1,.87,.94,3,3,1,1,110792,,3,23,3,4.25,26,.15000001,0,3,7,16,1,.74000001,.94999999,3,3,17,14.5,-2.5,0,-.099999905,1
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.0599999,.94999999,1,4,,1,1,111092,,2,40,5,5.0500002,26,.28,1,2,7,16,1.05,.89999998,.98000002,3,2,11,22,11,0,,0
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.0599999,.94999999,1.01,2,1,1,1,111092,,5,25,4,5.0500002,26,.15000001,0,3,7.5,14,1.05,.94,1,3,2,10,17.5,7.5,0,,0
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.0500002,,.25,0,2,10,11.5,1.16,1.0599999,1.05,5,3,20,20,0,0,,0
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.0700001,1.0599999,6,,1,1,111692,,2,33,3,5.0500002,26,.2,0,2,10,11.5,1.21,1.01,.94,6,4,17.25,18.5,1.25,0,,0
153,1,0,1,0,0,1,0,0,0,0,0,25,9,,52,.15000001,0,33,1,7,17,1,.94999999,.88999999,4,3,1,1,111092,,26.5,10,3,5.0500002,26,.15000001,0,2,7,17,1.05,.94999999,.94999999,3,2,12.5,31.5,19,0,,0
181,2,0,1,0,0,1,0,0,0,0,0,13,3,,,,0,100,1,10.5,11,.91000003,.79000002,2.3399999,3,2,1,1,111192,,1,15,2,5.0500002,,.25,0,1,10.5,11,.94999999,.89999998,2.49,3,2,6.5,8.5,2,0,,0
191,4,0,1,0,0,1,0,0,0,0,30,20,4,,,,0,,2,10.5,12,1.0599999,.94999999,1.0599999,,1,1,1,111792,1,0,25,4,5.0500002,6,.25,1,2,10.5,12,1.02,.94,1.05,2,2,40,12.5,-27.5,0,,0
